Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Random Forest,0.775,0.6470588235294118,0.55,0.5945945945945946,0.8082142857142857
Logistic Regression,0.74,0.5454545454545454,0.8,0.6486486486486487,0.8047619047619048
Decision Tree,0.595,0.3870967741935484,0.6,0.47058823529411764,0.6299404761904762
